,distance,image_number
0,ssim,9377
1,ssim,4992
2,ssim,4972
3,ssim,6415
4,ssim,8207
5,ssim,8228
6,ssim,9587
7,ssim,6646
8,ssim,9201
9,ssim,5616
10,ssim,2602
11,ssim,7456
12,ssim,9270
13,ssim,2481
14,ssim,9368
15,issm,9377
16,issm,4992
17,issm,4972
18,issm,6415
19,issm,8207
20,issm,8228
21,issm,9587
22,issm,6646
23,issm,9201
24,issm,5616
25,issm,2602
26,issm,7456
27,issm,9270
28,issm,2481
29,issm,9368
30,fsim,9377
31,fsim,4992
32,fsim,4972
33,fsim,6415
34,fsim,8207
35,fsim,8228
36,fsim,9587
37,fsim,6646
38,fsim,9201
39,fsim,5616
40,fsim,2602
41,fsim,7456
42,fsim,9270
43,fsim,2481
44,fsim,9368
45,me,9377
46,me,4992
47,me,4972
48,me,6415
49,me,8207
50,me,8228
51,me,9587
52,me,6646
53,me,9201
54,me,5616
55,me,2602
56,me,7456
57,me,9270
58,me,2481
59,me,9368
60,rmse,9377
61,rmse,4992
62,rmse,4972
63,rmse,6415
64,rmse,8207
65,rmse,8228
66,rmse,9587
67,rmse,6646
68,rmse,9201
69,rmse,5616
70,rmse,2602
71,rmse,7456
72,rmse,9270
73,rmse,2481
74,rmse,9368
